file_name,latitude,longitude,orbit_start,orbit_end
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,7.8129954,118.51917,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,8.187052,118.22462,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,9.111434,119.617615,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,9.958232,112.95548,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,9.919238,112.9069,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,9.904245,112.87377,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,9.137191,119.345825,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,9.191323,119.307144,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,7.962547,118.541985,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,27.629276,-100.42743,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,27.607868,-100.43559,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,27.636232,-100.34571,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,27.617022,-100.44284,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,27.676708,-100.40941,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,27.63568,-100.47059,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,27.586933,-100.41457,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,27.577745,-100.391624,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-5.4943237,-80.58984,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-5.374135,-80.708534,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-5.3173437,-80.59015,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-5.2429566,-80.66146,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-5.1207776,-80.66236,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-5.2013564,-80.67968,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-5.306026,-80.61388,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-5.217141,-80.59037,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-7.9673405,-75.82228,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-6.3703856,-73.48947,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-8.737652,-75.843285,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-12.588006,-73.92113,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.604158,-62.896687,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.649006,-62.89729,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.566982,-62.825806,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.597795,-62.88351,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.742313,-62.979218,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.830412,-62.97463,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.779068,-63.02083,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.840843,-63.06777,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.856863,-62.926422,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.042297,-62.86844,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.018837,-62.898388,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.039312,-62.96332,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.020061,-62.92902,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.14179,-62.90871,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.103794,-63.04157,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.719978,-62.567448,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.953175,-63.127148,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.939001,-63.06025,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.002737,-63.173084,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.930635,-63.29485,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.094687,-63.161972,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.140337,-63.252327,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.934708,-63.44728,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.942041,-63.303474,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-19.950665,-63.290134,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-20.023134,-63.077633,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.906021,-64.26122,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.807007,-64.2244,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.815336,-64.18043,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.885992,-64.28094,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.945768,-64.32392,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.75673,-64.18307,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.998968,-64.40897,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.986675,-64.48905,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-23.06834,-64.49985,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-23.016766,-64.379745,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.824911,-64.251625,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.900452,-64.20622,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.789948,-64.218,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.905006,-64.28015,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.759119,-64.204445,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.922289,-64.360054,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.855703,-64.443924,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.832937,-64.273285,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.898537,-64.258354,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.80488,-64.17032,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.82513,-64.264694,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.851618,-64.30572,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.729504,-64.20731,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.899323,-64.25167,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.799768,-64.22447,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.954657,-64.38413,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.835989,-64.34468,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.775,-64.272896,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.884335,-64.45154,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.75338,-64.21344,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.79435,-64.31656,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.863207,-64.31139,954471679.4,954477252.3
ISS_LIS_SC_V2.2_20230401_030109_NQC.nc,-22.89694,-64.554924,954471679.4,954477252.3
